Country,Date,Population,Internet_Penetration (%),Broadband_Speed (Mbps),Mobile_Broadband_Speed (Mbps),GDP_Per_Capita (USD),Education_Attainment_Index (%),Mobile_Data_Usage (GB per User),Digital_Investment (M USD),Digital_Literacy_Score (%),Sentiment_Score (Social Media),5G_Rollout_Status,Urban_Population_Split (%),Rural_Population_Split (%),Latitude,Longitude,Internet_Access_Cost (USD per Mbps),Device_Penetration (%),Cybersecurity_Incidents (Count),E_Commerce_Penetration (%),Government_Digital_Policy_Index (%),Network_Latency (ms),Cloud_Service_Adoption (%),IoT_Device_Density (per 1000 people),AI_Adoption_Index (%),Data_Privacy_Regulation_Strength (%),Energy_Consumption_for_Connectivity (kWh)
Algeria,01-01-2015,25258314,37.43677419,46.83903226,8.533870968,5327.303548,45.48967742,2.167741935,164.1280645,46.45870968,-0.019032258,None,48.49354839,51.50645161,13.8843,-124.8706,2.901935484,68.10483871,4174,33.4083871,37.13677419,77.05064516,27.83419355,22.95064516,15.65258065,,248.8719355
Algeria,01-02-2015,25258314,37.48428571,47.2275,8.6875,5331.729286,45.55571429,2.185357143,165.3860714,46.44928571,0.084642857,None,,45.45107143,13.8843,-124.8706,2.893571429,68.1225,,33.52,37.12821429,77.045,27.85642857,22.93642857,15.68142857,27.98964286,248.7575
Algeria,01-03-2015,25258314,37.62967742,47.43612903,8.852903226,5342.169032,45.60870968,2.182580645,166.2006452,46.50870968,0.061290323,None,48.98903226,51.01096774,13.8843,-124.8706,2.893225806,68.10806452,4148,33.54580645,37.15580645,77.12096774,27.87096774,23.03483871,15.68645161,27.99354839,248.5248387
Algeria,01-04-2015,25258314,37.25766667,47.5,9.058333333,5354.909667,45.64333333,2.199,166.6186667,,-0.058333333,None,47.761,52.239,13.8843,-124.8706,2.866666667,68.147,4032,33.57933333,37.12,77.25533333,27.88033333,23.08366667,15.70666667,28.01,248.4973333
Algeria,01-05-2015,25258314,37.49225806,47.65967742,8.886451613,5360.973226,45.66225806,2.205483871,167.4090323,46.55612903,0.03483871,None,50.15935484,49.84064516,13.8843,-124.8706,2.900322581,68.14354839,4195,33.59870968,37.15548387,77.07516129,27.93032258,23.11129032,15.72935484,28.01806452,248.9835484
Algeria,01-06-2015,25258314,37.475,47.87466667,9.217333333,,45.72033333,2.198333333,169.12,46.572,0.032333333,None,50.11633333,49.88366667,13.8843,-124.8706,2.860666667,68.14033333,4058,33.63633333,37.168,76.899,,23.15366667,15.72266667,28.03566667,248.7403333
Algeria,01-07-2015,25258314,37.52451613,47.77548387,9.25483871,5379.974839,45.74129032,2.208709677,169.2922581,46.61032258,-0.233225806,None,50.67322581,49.32677419,13.8843,-124.8706,2.895483871,68.1483871,4188,33.66322581,37.17354839,77.08258065,27.97258065,23.15741935,15.74483871,27.99870968,248.9812903
Algeria,01-08-2015,25258314,37.59483871,48.21129032,9.268387097,5382.864839,45.82387097,2.227419355,170.4241935,46.64806452,-0.150322581,None,49.24516129,50.75483871,13.8843,-124.8706,2.883870968,68.20677419,4163,33.68935484,37.1783871,77.07290323,28.00645161,23.1983871,15.78354839,28.01645161,248.4406452
Algeria,01-09-2015,25258314,37.51066667,48.16266667,9.639666667,5398.351333,45.85033333,2.237666667,171.1526667,46.60066667,-0.208666667,None,49.42066667,50.57933333,13.8843,-124.8706,2.899666667,68.21266667,4046,33.77266667,37.20466667,77.192,,23.30333333,15.76633333,28.04533333,248.75
Algeria,01-10-2015,25258314,37.39645161,48.43483871,9.671935484,5401.309677,45.8816129,2.244516129,171.4522581,46.67096774,-0.081935484,None,54.50096774,45.49903226,13.8843,-124.8706,2.86483871,68.19709677,4176,33.77903226,37.20451613,77.06483871,28.06064516,23.35967742,,28.07580645,249.6132258
